Country Name,Country Code,Population
Nicaragua,NIC,6545502.0
Netherlands,NLD,17332850.0
Norway,NOR,5347896.0
Nepal,NPL,28608710.0
Nauru,NRU,12581.0
New Zealand,NZL,4917000.0
OECD members,OED,1359963500.0
Oman,OMN,4974986.0
Other small states,OSS,31360407.0
Pakistan,PAK,216565318.0
Panama,PAN,4246439.0
Peru,PER,32510453.0
Philippines,PHL,108116615.0
Palau,PLW,18008.0
Papua New Guinea,PNG,8776109.0
Poland,POL,37970874.0
Pre-demographic dividend,PRE,944902749.0
Puerto Rico,PRI,3193694.0
"Korea, Dem. People’s Rep.",PRK,25666161.0
Portugal,PRT,10269417.0
Paraguay,PRY,7044636.0
West Bank and Gaza,PSE,4685306.0
Pacific island small states,PSS,2493696.0
Post-demographic dividend,PST,1112914457.0
French Polynesia,PYF,279287.0
Qatar,QAT,2832067.0
Romania,ROU,19356544.0
Russian Federation,RUS,144373535.0
Rwanda,RWA,12626950.0
South Asia,SAS,1835776742.0
Saudi Arabia,SAU,34268528.0
Sudan,SDN,42813238.0
Senegal,SEN,16296364.0
Singapore,SGP,5703569.0
Solomon Islands,SLB,669823.0
Sierra Leone,SLE,7813215.0
El Salvador,SLV,6453553.0
San Marino,SMR,33860.0
Somalia,SOM,15442905.0
Serbia,SRB,6944975.0
Sub-Saharan Africa (excluding high income),SSA,1105594562.0
South Sudan,SSD,11062113.0
Sub-Saharan Africa,SSF,1106957898.0
Small states,SST,41255484.0
Sao Tome and Principe,STP,215056.0
Suriname,SUR,581372.0
Slovak Republic,SVK,5454073.0
Slovenia,SVN,2087946.0
Sweden,SWE,10285453.0
Eswatini,SWZ,1148130.0
Sint Maarten (Dutch part),SXM,40733.0
Seychelles,SYC,97625.0
Syrian Arab Republic,SYR,17070135.0
Turks and Caicos Islands,TCA,38191.0
Chad,TCD,15946876.0
East Asia & Pacific (IDA & IBRD countries),TEA,2067984156.0
Europe & Central Asia (IDA & IBRD countries),TEC,460799505.0
Togo,TGO,8082366.0
Thailand,THA,69625582.0
Tajikistan,TJK,9321018.0
Turkmenistan,TKM,5942089.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,630644770.0
Timor-Leste,TLS,1293119.0
Middle East & North Africa (IDA & IBRD countries),TMN,384771780.0
Tonga,TON,104494.0
South Asia (IDA & IBRD),TSA,1835776742.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957898.0
Trinidad and Tobago,TTO,1394973.0
Tunisia,TUN,11694719.0
Turkey,TUR,83429615.0
Tuvalu,TUV,11646.0
Tanzania,TZA,58005463.0
Uganda,UGA,44269594.0
Ukraine,UKR,44385155.0
Upper middle income,UMC,2855862789.0
Uruguay,URY,3461734.0
United States,USA,328239523.0
Uzbekistan,UZB,33580650.0
St. Vincent and the Grenadines,VCT,110589.0
"Venezuela, RB",VEN,28515829.0
British Virgin Islands,VGB,30030.0
Virgin Islands (U.S.),VIR,106631.0
Vietnam,VNM,96462106.0
Vanuatu,VUT,299882.0
World,WLD,7673533972.0
Samoa,WSM,197097.0
Kosovo,XKX,1794248.0
"Yemen, Rep.",YEM,29161922.0
South Africa,ZAF,58558270.0
Zambia,ZMB,17861030.0
Zimbabwe,ZWE,14645468.0
