Country Name,Rank,Male,Female,Average,Forest area (1000 ha),Country Code,Population
Zimbabwe,203,58.3,62.5,60.4,17445.0,ZWE,14645468.0
Mali,204,58.2,62.5,60.3,13296.0,MLI,19658031.0
Angola,205,58.2,62.3,60.2,66607.0,AGO,31825295.0
Cameroon,208,57.6,59.9,59.0,20340.0,CMR,25876380.0
Sierra Leone,209,56.0,61.3,58.6,2535.0,SLE,7813215.0
Burkina Faso,211,53.8,58.0,55.9,6216.0,BFA,20321378.0
Niger,212,54.7,57.3,55.9,1080.0,NER,23310715.0
Uganda,213,54.4,57.3,55.9,2338.0,UGA,44269594.0
Nigeria,214,52.8,55.0,53.8,21627.0,NGA,200963599.0
Mozambique,215,52.9,54.5,53.7,36744.0,MOZ,30366036.0
Lesotho,216,53.0,53.1,53.0,35.0,LSO,2125268.0
Somalia,217,50.7,54.9,52.8,5980.0,SOM,15442905.0
Central African Republic,218,51.4,54.2,52.8,22303.0,CAF,4745185.0
Zambia,219,51.1,54.4,52.7,44814.0,ZMB,17861030.0
Gabon,220,51.7,52.5,52.1,23531.0,GAB,2172579.0
Afghanistan,222,50.3,53.2,51.7,1208.0,AFG,38041754.0
Guinea-Bissau,223,48.9,53.1,51.0,1980.0,GNB,1920922.0
Chad,224,49.4,51.9,50.6,4313.0,TCD,15946876.0
